QuarterID,GameID,Number,Name,AwayScore,HomeScore
160656,18909,2,2,26,29
160657,18909,3,3,32,35
160658,18909,4,4,23,31
160659,18910,1,1,38,29
160660,18910,2,2,35,29
160661,18910,3,3,26,38
160662,18910,4,4,20,30
160663,18911,1,1,22,28
160664,18911,2,2,27,34
160665,18911,3,3,32,26
160666,18911,4,4,34,34
160667,18913,1,1,25,19
160668,18913,2,2,35,28
160669,18913,3,3,35,34
160670,18913,4,4,33,28
160671,18912,1,1,27,37
160672,18912,2,2,32,20
160673,18912,3,3,24,29
160674,18912,4,4,34,28
160675,18914,1,1,22,28
160676,18914,2,2,36,25
160677,18914,3,3,26,28
160678,18914,4,4,36,32
160679,18916,1,1,21,29
160680,18917,1,1,33,26
160681,18917,2,2,22,22
160682,18917,3,3,32,28
160683,18917,4,4,23,34
160684,18916,2,2,38,28
160685,18916,3,3,22,33
160686,18916,4,4,29,27
160687,18915,1,1,32,30
160688,18915,2,2,27,20
160689,18915,3,3,29,24
160690,18915,4,4,25,29
160691,18918,1,1,27,28
160692,18918,2,2,27,20
160693,18918,3,3,27,33
160694,18918,4,4,24,24
160695,18919,1,1,23,34
160696,18919,2,2,25,32
160697,18919,3,3,28,18
160698,18919,4,4,24,24
160699,18920,1,1,37,14
160700,18920,2,2,26,30
160701,18920,3,3,25,39
160702,18920,4,4,35,22
160703,18917,5,OT,18,8
160704,18918,5,OT,16,20
160705,18921,1,1,28,26
160706,18921,2,2,34,32
160707,18921,3,3,24,33
160708,18921,4,4,31,31
160709,18922,1,1,32,23
160710,18922,2,2,30,27
160711,18922,3,3,17,30
160712,18922,4,4,21,32
160713,18923,1,1,15,31
160714,18923,2,2,19,33
160715,18923,3,3,23,25
160716,18923,4,4,42,33
160717,18924,1,1,19,37
160718,18924,2,2,25,25
160719,18924,3,3,44,44
160720,18924,4,4,22,29
160721,18925,1,1,17,30
160722,18925,2,2,35,32
160723,18925,3,3,42,28
160724,18925,4,4,25,19
160725,18926,1,1,16,29
160726,18926,2,2,30,29
160727,18926,3,3,36,27
160728,18926,4,4,22,36
160729,18930,1,1,30,36
160730,18930,2,2,33,19
160731,18930,3,3,35,32
160732,18930,4,4,29,19
160733,18927,1,1,24,17
160734,18927,2,2,27,36
160735,18927,3,3,27,28
160736,18927,4,4,25,22
160737,18928,1,1,38,20
160738,18928,2,2,25,28
160739,18928,3,3,31,37
160740,18928,4,4,34,35
160741,18929,1,1,27,30
160742,18929,2,2,30,23
160743,18929,3,3,27,30
160744,18929,4,4,21,28
160745,18931,1,1,28,31
160746,18931,2,2,25,31
160747,18931,3,3,31,20
160748,18931,4,4,22,32
160749,18932,1,1,23,31
160750,18932,2,2,37,33
160751,18932,3,3,32,35
160752,18932,4,4,33,30
160753,18927,5,OT,15,8
160754,18933,1,1,24,26
160755,18933,2,2,31,26
160756,18933,3,3,24,27
160757,18933,4,4,21,18
160758,18934,1,1,29,24
160759,18934,2,2,23,29
160760,18934,3,3,34,30
160761,18934,4,4,28,31
160762,18935,1,1,20,32
160763,18936,1,1,27,34
160764,18935,2,2,34,26
160765,18935,3,3,31,26
160766,18935,4,4,23,19
160767,18936,2,2,37,30
160768,18936,3,3,26,33
160769,18936,4,4,25,27
160770,18934,5,OT,15,9
160771,18937,1,1,35,31
160772,18937,2,2,25,26
160773,18937,3,3,24,36
160774,18937,4,4,29,29
160775,18938,1,1,0,0
160776,18940,1,1,26,32
160777,18940,2,2,26,25
160778,18940,3,3,32,33
160779,18940,4,4,38,22
160780,18939,1,1,23,37
160781,18939,2,2,30,19
160782,18939,3,3,25,26
160783,18939,4,4,16,23
160784,18941,1,1,16,46
160785,18941,2,2,29,33
160786,18941,3,3,27,31
160787,18941,4,4,24,29
160788,18944,1,1,30,31
160789,18944,2,2,31,23
160790,18944,3,3,28,30
160791,18944,4,4,30,25
160792,18942,1,1,25,34
160793,18942,2,2,33,33
160794,18942,3,3,28,17
160795,18942,4,4,20,28
160796,18943,1,1,34,32
160797,18943,2,2,37,30
160798,18943,3,3,22,20
160799,18943,4,4,17,28
160800,18945,1,1,25,31
160801,18945,2,2,35,34
